image_id,true_cat,base_ypre,focalloss_ypre,mixlabel_ypre
cropped5.png,2,2,2,2
cropped12.png,5,5,5,5
cropped22.png,2,2,2,2
cropped32.png,2,2,2,2
cropped36.png,5,5,5,5
cropped103.png,7,7,4,4
cropped122.png,8,3,3,5
cropped157.png,5,5,5,5
cropped165.png,1,1,4,4
cropped168.png,1,2,2,1
cropped183.png,4,4,4,4
cropped185.png,3,3,6,2
cropped203.png,3,2,2,2
cropped241.png,2,1,2,1
cropped271.png,1,1,1,2
cropped281.png,5,5,5,5
cropped286.png,2,1,1,2
cropped314.png,6,6,6,4
cropped343.png,2,3,2,2
cropped351.png,1,1,1,3
cropped386.png,2,8,3,3
cropped389.png,8,3,5,5
cropped406.png,6,4,4,4
cropped417.png,5,4,5,3
cropped437.png,8,2,5,2
cropped455.png,4,2,4,2
cropped472.png,3,2,8,5
cropped540.png,4,4,4,4
cropped555.png,1,2,7,2
cropped600.png,4,4,4,4
cropped642.png,4,4,4,7
cropped660.png,5,4,5,4
cropped668.png,1,1,1,1
cropped672.png,5,5,4,7
cropped691.png,4,4,4,4
cropped739.png,4,4,4,4
cropped767.png,8,7,7,1
cropped772.png,4,2,3,6
cropped782.png,4,6,4,6
cropped785.png,4,6,4,4
cropped800.png,1,5,4,1
cropped803.png,1,4,4,4
cropped837.png,8,8,8,8
cropped843.png,4,1,1,1
cropped858.png,3,7,5,4
cropped878.png,2,3,5,3
cropped893.png,8,3,3,8
cropped924.png,1,5,1,1
cropped925.png,4,5,4,4
cropped934.png,4,4,4,6
cropped940.png,1,1,1,1
cropped954.png,8,8,3,8
cropped970.png,1,3,6,3
cropped983.png,5,4,4,7
cropped1024.png,3,3,3,3
cropped1041.png,3,6,6,6
cropped1049.png,7,8,6,6
cropped1064.png,4,4,6,4
cropped1255.png,5,5,5,4
cropped1260.png,1,2,6,1
cropped1288.png,7,7,7,7
cropped1293.png,2,2,2,5
cropped1300.png,1,1,8,1
cropped1354.png,4,7,6,6
cropped1359.png,5,7,5,5
cropped1368.png,1,6,4,2
cropped1382.png,1,2,2,2
cropped1391.png,8,6,6,6
cropped1410.png,7,4,6,4
cropped1451.png,1,2,3,2
cropped1456.png,8,1,8,1
cropped1460.png,4,7,4,4
cropped1472.png,1,3,3,3
cropped1474.png,6,2,7,3
cropped1480.png,4,1,4,6
cropped1500.png,1,3,3,3
cropped1515.png,8,8,6,8
cropped1518.png,4,4,4,4
cropped1540.png,5,4,4,4
cropped1542.png,2,2,2,2
cropped1546.png,1,4,4,4
cropped1552.png,7,7,7,7
cropped1564.png,4,6,4,6
cropped1574.png,2,3,1,2
cropped1582.png,1,1,1,1
cropped1592.png,4,4,4,4
cropped1608.png,8,5,7,2
cropped1609.png,8,2,2,2
cropped1612.png,2,2,2,2
cropped1624.png,7,2,5,2
cropped1684.png,2,2,2,2
cropped1690.png,8,7,7,7
cropped1695.png,8,3,3,8
cropped1743.png,4,6,6,6
cropped1767.png,8,7,7,8
cropped1804.png,4,1,4,4
cropped1806.png,1,2,3,2
cropped1807.png,1,3,3,3
cropped1813.png,1,3,3,3
cropped1880.png,7,7,7,7
cropped1906.png,7,3,7,7
cropped1930.png,8,7,3,8
cropped1959.png,5,7,6,7
cropped1964.png,5,5,5,5
cropped2025.png,1,1,1,1
cropped2026.png,1,1,1,1
cropped2060.png,4,4,4,4
cropped2062.png,4,3,6,7
cropped2073.png,4,4,4,4
cropped2077.png,5,5,5,5
cropped2156.png,3,7,7,7
cropped2160.png,8,1,6,1
cropped2165.png,8,3,3,3
cropped2192.png,1,1,1,1
cropped2208.png,1,6,6,6
cropped2215.png,4,6,6,6
cropped2234.png,8,6,6,6
cropped2245.png,4,7,6,7
cropped2274.png,7,7,6,7
cropped2278.png,4,7,3,1
cropped2281.png,7,7,3,7
cropped2313.png,7,3,8,3
cropped2315.png,8,2,2,2
cropped2334.png,4,5,4,4
cropped2351.png,7,7,7,7
cropped2369.png,4,4,4,4
cropped2380.png,1,1,1,1
cropped2408.png,4,4,4,4
cropped2416.png,1,1,1,1
cropped2484.png,8,3,3,3
cropped2489.png,8,3,3,3
cropped2505.png,4,4,7,7
cropped2536.png,1,1,1,1
cropped2537.png,4,6,6,6
cropped2541.png,5,5,6,6
cropped2557.png,1,6,1,1
cropped2558.png,4,4,1,4
cropped2582.png,4,7,7,4
cropped2606.png,4,3,6,6
cropped2628.png,1,1,1,1
cropped2662.png,3,6,6,6
cropped2673.png,4,7,7,7
cropped2723.png,2,2,2,2
cropped2753.png,1,1,5,1
cropped2799.png,8,8,8,8
cropped2825.png,4,6,4,5
cropped2831.png,8,2,6,6
cropped2835.png,4,5,5,4
cropped2848.png,4,5,5,5
cropped2852.png,7,6,7,7
cropped2880.png,1,1,1,1
cropped2904.png,7,7,7,7
cropped2929.png,6,6,7,3
cropped2932.png,4,4,5,4
cropped2933.png,4,4,4,4
cropped2939.png,4,7,6,4
cropped2947.png,4,6,7,7
cropped2959.png,3,3,3,3
cropped2967.png,4,4,4,4
cropped2975.png,5,5,5,5
cropped3044.png,1,1,1,1
cropped3045.png,1,1,1,1
cropped3073.png,1,8,8,6
cropped3080.png,1,3,3,3
cropped3082.png,1,1,1,1
cropped3089.png,7,7,7,7
cropped3094.png,7,7,7,7
cropped3119.png,1,4,4,4
cropped3128.png,4,6,6,6
cropped3137.png,4,1,1,1
cropped3148.png,3,3,3,3
cropped3166.png,7,7,7,7
cropped3169.png,7,7,7,7
cropped3173.png,7,7,4,7
cropped3221.png,1,6,7,6
cropped3230.png,3,3,3,3
cropped3262.png,1,1,4,1
cropped3272.png,4,6,6,6
cropped3273.png,7,7,7,7
cropped3318.png,4,7,4,4
cropped3322.png,8,7,7,8
cropped3358.png,1,1,1,1
cropped3428.png,1,1,1,1
cropped3443.png,8,6,2,3
cropped3448.png,8,7,8,7
cropped3453.png,1,1,1,1
cropped3492.png,4,4,4,4
cropped3542.png,4,6,6,6
cropped3559.png,1,6,6,1
cropped3611.png,3,3,3,2
cropped3622.png,6,6,6,6
cropped3624.png,4,6,6,6
cropped3635.png,1,6,4,1
cropped3648.png,4,6,4,4
cropped3671.png,4,5,5,4
cropped3673.png,1,6,7,7
cropped3747.png,8,6,6,6
cropped3767.png,8,3,3,8
cropped3768.png,4,4,4,4
cropped3769.png,6,4,4,4
cropped3796.png,4,2,4,4
cropped3819.png,1,5,2,5
cropped3832.png,1,1,1,1
cropped3836.png,4,4,5,4
cropped3845.png,8,8,8,8
cropped3898.png,6,6,4,6
cropped3907.png,6,6,6,6
cropped3931.png,6,6,6,6
cropped3958.png,4,7,4,4
cropped3970.png,8,8,8,8
cropped3976.png,7,7,7,7
cropped4016.png,1,8,1,1
cropped4018.png,8,1,1,1
cropped4027.png,5,7,5,1
cropped4049.png,1,3,3,3
cropped4063.png,7,6,7,3
cropped4077.png,7,3,3,3
cropped4108.png,5,4,4,4
cropped4118.png,1,3,3,2
cropped4155.png,7,3,7,4
cropped4160.png,3,2,2,2
cropped4168.png,1,3,3,3
cropped4202.png,8,6,6,5
cropped4227.png,4,6,7,7
cropped4279.png,4,6,6,4
cropped4281.png,1,2,2,2
cropped4289.png,4,6,6,4
cropped4302.png,4,6,6,6
cropped4303.png,4,4,4,4
cropped4326.png,8,8,8,3
cropped4332.png,8,3,8,8
cropped4341.png,1,1,1,1
cropped4367.png,2,3,2,3
cropped4406.png,8,7,4,4
cropped4425.png,7,7,7,7
cropped4442.png,3,2,6,4
cropped4447.png,1,2,3,3
cropped4463.png,2,6,3,6
cropped4493.png,8,8,8,8
cropped4544.png,2,2,2,1
cropped4550.png,4,6,4,4
cropped4565.png,2,3,3,1
cropped4625.png,7,7,7,7
cropped4646.png,1,1,1,1
cropped4694.png,8,1,1,1
cropped4741.png,7,7,4,4
cropped4775.png,1,1,1,1
cropped4781.png,5,5,3,5
cropped4815.png,8,3,3,8
cropped4829.png,8,6,7,1
cropped4839.png,4,4,4,4
cropped4842.png,1,1,1,1
cropped4847.png,1,3,7,1
cropped4849.png,4,2,4,4
cropped4865.png,1,3,3,3
cropped4908.png,4,4,4,4
cropped4912.png,8,8,8,1
cropped4947.png,5,5,5,5
cropped4960.png,1,2,2,1
cropped5007.png,7,6,7,7
cropped5128.png,3,3,3,3
cropped5161.png,7,6,1,1
cropped5164.png,1,8,4,6
cropped5183.png,1,2,2,1
cropped5202.png,1,1,2,1
cropped5209.png,4,5,5,5
cropped5239.png,8,3,3,8
cropped5255.png,1,1,1,1
cropped5262.png,2,2,2,2
cropped5276.png,5,2,7,2
cropped5283.png,8,6,7,6
cropped5297.png,4,6,4,6
cropped5299.png,8,3,3,3
cropped5303.png,4,6,4,4
cropped5310.png,8,7,3,7
cropped5322.png,2,2,2,2
cropped5332.png,8,6,6,6
cropped5360.png,3,1,3,3
cropped5362.png,4,5,5,5
cropped5383.png,4,5,4,4
cropped5412.png,2,2,2,2
cropped5430.png,2,2,2,2
cropped5500.png,3,3,6,3
cropped5507.png,2,6,6,6
cropped5520.png,1,3,3,3
cropped5521.png,3,3,3,3
cropped5556.png,1,1,1,1
cropped5562.png,4,4,4,4
cropped5608.png,4,5,5,5
cropped5624.png,4,4,4,4
cropped5637.png,1,1,1,1
cropped5647.png,5,7,4,4
cropped5654.png,2,2,2,2
cropped5682.png,8,8,8,8
cropped5695.png,4,4,4,4
cropped5701.png,5,3,3,3
cropped5717.png,3,6,7,1
cropped5730.png,7,7,7,1
cropped5767.png,4,7,6,6
cropped5794.png,5,7,7,7
cropped5808.png,1,2,6,2
cropped5813.png,2,2,2,2
cropped5816.png,8,6,3,6
cropped5988.png,8,8,8,8
cropped5995.png,8,8,6,8
cropped6033.png,8,5,5,5
cropped6060.png,1,7,7,7
